muhatap_kodu,odeme_bicimi,vadesi_gecmis,ort_tahsilat_gun
M4126943,Peşin,0.0,0.0
M4126943,BELIRTILMEMIS,0.0,0.0
M4126966,Kredi Kartı,0.0,0.0
M4124455,Kredi Kartı,0.0,0.0
M4129076,BELIRTILMEMIS,0.0,0.0
M4129076,Kredi Kartı,0.0,0.0
M4129107,BELIRTILMEMIS,0.0,0.0
M4128923,BELIRTILMEMIS,0.0,1.25
M4129032,BELIRTILMEMIS,0.0,0.0
M4129089,BELIRTILMEMIS,0.0,0.0
M4129120,BELIRTILMEMIS,0.0,0.0
M4129205,BELIRTILMEMIS,0.0,0.0
M4129254,BELIRTILMEMIS,0.0,0.0
M4129241,BELIRTILMEMIS,0.0,0.0
M4129277,BELIRTILMEMIS,0.0,0.0
M4129297,BELIRTILMEMIS,0.0,0.0
M4125168,BELIRTILMEMIS,0.0,0.0
M4125039,BELIRTILMEMIS,0.0,0.0
M4125239,BELIRTILMEMIS,0.0,0.0
M4128961,Kredi Kartı,0.0,0.0
M4128961,BELIRTILMEMIS,0.0,0.0
M4128991,BELIRTILMEMIS,0.0,0.0
M4129028,BELIRTILMEMIS,0.0,0.0
M4129028,Kredi Kartı,0.0,0.0
M4129044,BELIRTILMEMIS,0.0,0.0
M4129088,BELIRTILMEMIS,0.0,0.0
M4129139,Kredi Kartı,0.0,0.0
M4129139,BELIRTILMEMIS,0.0,0.0
M4129311,BELIRTILMEMIS,0.0,0.0
M4129259,Kredi Kartı,0.0,0.0
M4125224,BELIRTILMEMIS,0.0,0.0
M4125060,BELIRTILMEMIS,0.0,0.0
M4124913,Kredi Kartı,0.0,0.0
M4124913,BELIRTILMEMIS,0.0,0.0
M4125041,BELIRTILMEMIS,0.0,0.0
M4125106,Havale,0.0,0.0
M4125106,BELIRTILMEMIS,0.0,0.0
M4125299,BELIRTILMEMIS,0.0,0.0
M4125120,BELIRTILMEMIS,0.0,0.0
M4124711,BELIRTILMEMIS,0.0,9.0
M4124711,Havale,0.0,10.0
M4124247,Kredi Kartı,0.0,0.0
M4124478,Kredi Kartı,0.0,0.0
M4124493,BELIRTILMEMIS,0.0,58.0
M4124518,BELIRTILMEMIS,0.0,0.0
M4124518,Kredi Kartı,0.0,0.0
M4124518,Peşin,0.0,0.0
M4124851,BELIRTILMEMIS,0.0,0.0
M4124058,BELIRTILMEMIS,0.0,44.0
M4124269,BELIRTILMEMIS,0.0,0.0
M4124517,Kredi Kartı,0.0,0.0
M4124517,BELIRTILMEMIS,0.0,0.0
M4124627,Kredi Kartı,0.0,0.0
M4125099,BELIRTILMEMIS,0.0,0.0
M4125099,Kredi Kartı,0.0,-112.0
M4125126,BELIRTILMEMIS,0.0,60.33
M4125126,Kredi Kartı,0.0,0.0
M4125126,BELIRTILMEMIS,0.0,0.0
M4125201,BELIRTILMEMIS,0.0,19.33
M4125201,Havale,0.0,0.0
M4125213,BELIRTILMEMIS,0.0,0.0
M4125234,BELIRTILMEMIS,0.0,0.0
M4125235,BELIRTILMEMIS,0.0,0.0
M4125287,BELIRTILMEMIS,0.0,0.0
M4128642,Peşin,0.0,0.0
M4128642,Kredi Kartı,0.0,0.0
M4129110,Kredi Kartı,0.0,0.0
M4129110,BELIRTILMEMIS,0.0,0.0
M4123748,Havale,0.0,0.0
M4123748,Kredi Kartı,0.0,5.0
M4123748,BELIRTILMEMIS,0.0,43.25
M4124277,BELIRTILMEMIS,0.0,0.0
M4125212,BELIRTILMEMIS,0.0,0.0
M4124030,Kredi Kartı,0.0,0.0
M4125217,BELIRTILMEMIS,0.0,0.0
M4123862,BELIRTILMEMIS,0.0,0.0
M4125049,BELIRTILMEMIS,0.0,0.0
M4124883,BELIRTILMEMIS,0.0,0.0
M4124883,BELIRTILMEMIS,0.0,0.0
M4124883,Peşin,0.0,0.0
M4124883,Kredi Kartı,0.0,0.0
M4124921,Kredi Kartı,0.0,0.0
M4124921,BELIRTILMEMIS,0.0,0.0
M4129080,Kredi Kartı,0.0,0.0
M4129080,BELIRTILMEMIS,0.0,0.0
M4125078,BELIRTILMEMIS,0.0,0.0
M4125078,Kredi Kartı,0.0,0.0
M4128627,Havale,0.0,0.22
M4128627,Peşin,0.0,0.0
M4128627,Kredi Kartı,0.0,0.22
M4125084,BELIRTILMEMIS,0.0,0.0
